speaker_id,word_id,word,video_file,audio_file,lip_directory,video_frames,face_detected_frames,lip_detected_frames,face_detection_rate,lip_detection_rate,quality_status,quality_score,emotion_detected,recording_attempt,video_fps,duration_sec
S004,1,Analyse,videos\S004\001_Analyse.mp4,audio\S004\001_Analyse.wav,lips\S004\001_Analyse,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.08
S004,2,Acquire,videos\S004\002_Acquire.mp4,audio\S004\002_Acquire.wav,lips\S004\002_Acquire,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.09
S004,3,Adult,videos\S004\003_Adult.mp4,audio\S004\003_Adult.wav,lips\S004\003_Adult,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.08
S004,4,At least,videos\S004\004_Atleast.mp4,audio\S004\004_Atleast.wav,lips\S004\004_Atleast,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.08
S004,5,Average,videos\S004\005_Average.mp4,audio\S004\005_Average.wav,lips\S004\005_Average,11,9,9,0.818,0.818,REVIEW,0.818,Focused / Serious,1,30.0,1.07
S004,6,Area,videos\S004\006_Area.mp4,audio\S004\006_Area.wav,lips\S004\006_Area,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.08
S004,7,Exam,videos\S004\007_Exam.mp4,audio\S004\007_Exam.wav,lips\S004\007_Exam,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.08
S004,8,Engineer,videos\S004\008_Engineer.mp4,audio\S004\008_Engineer.wav,lips\S004\008_Engineer,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.08
S004,9,East,videos\S004\009_East.mp4,audio\S004\009_East.wav,lips\S004\009_East,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.08
S004,10,Earn,videos\S004\010_Earn.mp4,audio\S004\010_Earn.wav,lips\S004\010_Earn,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.08
S004,11,Entire,videos\S004\011_Entire.mp4,audio\S004\011_Entire.wav,lips\S004\011_Entire,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.08
S004,12,Equation,videos\S004\012_Equation.mp4,audio\S004\012_Equation.wav,lips\S004\012_Equation,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.08
S004,13,Plan,videos\S004\013_Plan.mp4,audio\S004\013_Plan.wav,lips\S004\013_Plan,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.09
S004,14,Pharmacy,videos\S004\014_Pharmacy.mp4,audio\S004\014_Pharmacy.wav,lips\S004\014_Pharmacy,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.08
S004,15,Perimeter,videos\S004\015_Perimeter.mp4,audio\S004\015_Perimeter.wav,lips\S004\015_Perimeter,11,11,11,1.0,1.0,GOOD,1.0,Focused / Serious,1,30.0,1.1
S004,16,Pain,videos\S004\016_Pain.mp4,audio\S004\016_Pain.wav,lips\S004\016_Pain,10,7,7,0.7,0.7,REVIEW,0.7,Focused / Serious,1,30.0,1.09
S004,17,Please,videos\S004\017_Please.mp4,audio\S004\017_Please.wav,lips\S004\017_Please,11,9,9,0.818,0.818,REVIEW,0.818,Focused / Serious,1,30.0,1.1
S004,18,Physics,videos\S004\018_Physics.mp4,audio\S004\018_Physics.wav,lips\S004\018_Physics,11,7,7,0.636,0.636,FAILED,0.636,Focused / Serious,1,30.0,1.09
